district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
JAIPUR,CHOMU,65808.48,5838.37,8.87,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,AMER,85637.49,850.79,0.99,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,JAIPUR,50861.46,1718.33,3.38,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,PHULERA,93718.41,1754.35,1.87,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JAIPUR,DUDU,66875.48,943.68,1.41,Jaipur,960.87,24.778794520547947,53.19098630136986,2.0715616438356164,96.21583561643835,41.69
JALOR,BHINMAL,56369.38,3681.32,6.53,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,BAGORA,78689.9,9777.27,12.43,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,SAYLA,92799.98,5723.45,6.17,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,RANIWARA,97405.4,3074.38,3.16,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,JASWANTPURA,103471.07,8229.98,7.95,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,JALOR,124721.27,11954.46,9.58,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,CHITALWANA,169829.85,39923.02,23.51,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JALOR,AHORE,181544.87,5946.89,3.28,Jalore,730.4,26.737534246575343,49.23090410958904,2.517095890410959,98.9168493150685,39.78
JHALAWAR,GANGDHAR,89406.72,2777.72,3.11,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,ASNAWAR,28462.24,3825.49,13.44,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,AKLERA,76534.46,3792.23,4.95,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,KHANPUR,90107.69,5539.47,6.15,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,ASNAWAR,95922.25,7389.92,7.7,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,MANOHARTHANA,61229.13,2609.6,4.26,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,PACHPHAR,68376.37,5178.31,7.57,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JHALAWAR,PIDDAWA,99845.16,3651.34,3.66,Jhalawar,1171.45,25.512438356164385,56.912301369863016,2.284054794520548,96.8830410958904,103.13
JODHPUR,LUNI,162501.34,8912.37,5.48,Jodhpur,603.15,26.55328767123288,48.474657534246575,2.48,98.35780821917808,37.54
JODHPUR,BILARA,103688.13,6845.81,6.6,Jodhpur,603.15,26.55328767123288,48.474657534246575,2.48,98.35780821917808,37.54
