district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
JAIPUR,CHAKSU,50040.17,308.34,0.62,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,SHAHPURA,50853.3,3160.17,6.21,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,MOZAMABAD,62189.98,3144.78,5.06,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,RENWAL,56596.31,2616.18,4.62,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,SANGANER,68380.03,971.67,1.42,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,KOTPUTLI,78278.61,5220.52,6.67,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,PHAGI,107744.28,10889.7,10.11,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,CHOMU,65808.48,5838.37,8.87,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,AMER,85637.49,850.79,0.99,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,JAIPUR,50861.46,1718.33,3.38,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,PHULERA,93718.41,1754.35,1.87,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JAIPUR,DUDU,66875.48,943.68,1.41,Jaipur,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75
JALOR,BHINMAL,56369.38,3681.32,6.53,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,BAGORA,78689.9,9777.27,12.43,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,SAYLA,92799.98,5723.45,6.17,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,RANIWARA,97405.4,3074.38,3.16,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,JASWANTPURA,103471.07,8229.98,7.95,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,JALOR,124721.27,11954.46,9.58,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,CHITALWANA,169829.85,39923.02,23.51,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JALOR,AHORE,181544.87,5946.89,3.28,Jalore,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99
JHALAWAR,GANGDHAR,89406.72,2777.72,3.11,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,ASNAWAR,28462.24,3825.49,13.44,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,AKLERA,76534.46,3792.23,4.95,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,KHANPUR,90107.69,5539.47,6.15,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,ASNAWAR,95922.25,7389.92,7.7,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,MANOHARTHANA,61229.13,2609.6,4.26,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,PACHPHAR,68376.37,5178.31,7.57,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JHALAWAR,PIDDAWA,99845.16,3651.34,3.66,Jhalawar,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61
JODHPUR,LUNI,162501.34,8912.37,5.48,Jodhpur,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
JODHPUR,BILARA,103688.13,6845.81,6.6,Jodhpur,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
JODHPUR,JODHPUR,180538.72,3353.87,1.86,Jodhpur,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
KARAULI,MANDRAIL,55460.1,528.81,0.95,Karauli,614.6102702702703,26.19934734349563,42.42385748113068,2.0424966701198755,97.60289107592126,72.72
KARAULI,SAPOTRA,130676.76,1001.1,0.77,Karauli,614.6102702702703,26.19934734349563,42.42385748113068,2.0424966701198755,97.60289107592126,72.72
KOTA,SANGOD,48882.86,5499.49,11.25,Kota,722.8813513513513,25.826654580435104,45.141390409945245,2.287511469587095,96.53276010063638,120.58
NAGAUR,RIYANBADDI,110271.49,3999.8,3.63,Nagaur,360.54675675675674,26.284999260026638,36.80900547580287,2.466680479502738,97.18718514133492,59.75
NAGAUR,NAWA,105440.44,7668.55,7.27,Nagaur,360.54675675675674,26.284999260026638,36.80900547580287,2.466680479502738,97.18718514133492,59.75
PALI,RANI,75616.44,6509.59,8.61,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
